Id,GEOID,Geography,Calls_2012,Cases_2012,Est_2012,Calls_2013,Cases_2013,Est_2013,Calls_2014,Cases_2014,Est_2014,Calls_2015,Cases_2015,Est_2015,Calls_2016,Cases_2016,Est_2016
0500000US05107,5107,"Phillips County, Arkansas",0,0,20762,1,0,20437,1,0,19938,1,0,19534,1,0,18975
0500000US05109,5109,"Pike County, Arkansas",0,0,11270,1,0,11126,0,0,11002,0,0,10854,0,0,10832
0500000US05111,5111,"Poinsett County, Arkansas",1,0,24293,1,0,24156,1,0,24155,1,0,24028,1,0,24023
0500000US05113,5113,"Polk County, Arkansas",0,0,20440,1,0,20361,1,0,20252,1,0,20225,1,0,20173
0500000US05115,5115,"Pope County, Arkansas",1,0,62631,4,1,62538,2,0,63094,2,1,63492,3,1,63779
0500000US05117,5117,"Prairie County, Arkansas",0,0,8460,0,0,8364,0,0,8314,0,0,8280,0,0,8251
0500000US05119,5119,"Pulaski County, Arkansas",9,2,388905,22,3,391312,13,3,392633,14,5,392932,18,6,393250
0500000US05121,5121,"Randolph County, Arkansas",0,0,17854,1,0,17621,1,0,17540,1,0,17455,1,0,17448
0500000US05123,5123,"St. Francis County, Arkansas",1,0,27907,2,0,27408,1,0,27026,1,0,26578,1,0,26196
0500000US05125,5125,"Saline County, Arkansas",3,1,111758,7,1,114287,4,1,115780,4,1,117358,5,2,118703
0500000US05127,5127,"Scott County, Arkansas",0,0,10986,1,0,10874,0,0,10659,0,0,10510,0,0,10277
0500000US05129,5129,"Searcy County, Arkansas",0,0,7988,0,0,7979,0,0,7908,0,0,7850,0,0,7967
0500000US05131,5131,"Sebastian County, Arkansas",3,1,127418,7,1,127127,4,1,126827,5,1,127590,6,2,127793
0500000US05133,5133,"Sevier County, Arkansas",0,0,17153,1,0,17297,1,0,17377,1,0,17226,1,0,16910
0500000US05135,5135,"Sharp County, Arkansas",0,0,17061,1,0,17084,1,0,16904,1,0,16931,1,0,17157
